"AA_Benchmark","AA_Throughput","Database","Isolation","Latency_25th","Latency_75th","Latency_90th","Latency_95th","Latency_99th","Latency_avg","Latency_max","Latency_median","Latency_min","PG_Cache_Hits","PG_Index_Hits","PG_disk_blocks_cache_hit","PG_disk_blocks_read","PG_index_scans","PG_rows_deleted","PG_rows_fetched","PG_rows_inserted","PG_rows_returned","PG_rows_updated","PG_sequential_scans","PG_transactions_committed","PG_transactions_rolled_back","Scalefactor","Terminals","Timestamp","allow_system_table_mods","application_name","archive_command","archive_mode","archive_timeout","array_nulls","authentication_timeout","autovacuum","autovacuum_analyze_scale_factor","autovacuum_analyze_threshold","autovacuum_freeze_max_age","autovacuum_max_workers","autovacuum_multixact_freeze_max_age","autovacuum_naptime","autovacuum_vacuum_cost_delay","autovacuum_vacuum_cost_limit","autovacuum_vacuum_scale_factor","autovacuum_vacuum_threshold","autovacuum_work_mem","backslash_quote","bgwriter_delay","bgwriter_lru_maxpages","bgwriter_lru_multiplier","block_size","bonjour","bonjour_name","bytea_output","check_function_bodies","checkpoint_completion_target","checkpoint_segments","checkpoint_timeout","checkpoint_warning","client_encoding","client_min_messages","cluster_name","commit_delay","commit_siblings","config_file","constraint_exclusion","cpu_index_tuple_cost","cpu_operator_cost","cpu_tuple_cost","cursor_tuple_fraction","data_checksums","data_directory","datestyle","db_user_namespace","deadlock_timeout","debug_assertions","debug_pretty_print","debug_print_parse","debug_print_plan","debug_print_rewritten","default_statistics_target","default_tablespace","default_text_search_config","default_transaction_deferrable","default_transaction_isolation","default_transaction_read_only","default_with_oids","dynamic_library_path","dynamic_shared_memory_type","effective_cache_size","effective_io_concurrency","enable_bitmapscan","enable_hashagg","enable_hashjoin","enable_indexonlyscan","enable_indexscan","enable_material","enable_mergejoin","enable_nestloop","enable_seqscan","enable_sort","enable_tidscan","escape_string_warning","event_source","exit_on_error","external_pid_file","extra_float_digits","from_collapse_limit","fsync","full_page_writes","geqo","geqo_effort","geqo_generations","geqo_pool_size","geqo_seed","geqo_selection_bias","geqo_threshold","gin_fuzzy_search_limit","gin_pending_list_limit","hba_file","hot_standby","hot_standby_feedback","huge_pages","ident_file","ignore_checksum_failure","ignore_system_indexes","integer_datetimes","intervalstyle","join_collapse_limit","krb_caseins_users","krb_server_keyfile","lc_collate","lc_ctype","lc_messages","lc_monetary","lc_numeric","lc_time","listen_addresses","lo_compat_privileges","local_preload_libraries","lock_timeout","log_autovacuum_min_duration","log_checkpoints","log_connections","log_destination","log_directory","log_disconnections","log_duration","log_error_verbosity","log_executor_stats","log_file_mode","log_filename","log_hostname","log_line_prefix","log_lock_waits","log_min_duration_statement","log_min_error_statement","log_min_messages","log_parser_stats","log_planner_stats","log_replication_commands","log_rotation_age","log_rotation_size","log_statement","log_statement_stats","log_temp_files","log_timezone","log_truncate_on_rotation","logging_collector","maintenance_work_mem","max_connections","max_files_per_process","max_function_args","max_identifier_length","max_index_keys","max_locks_per_transaction","max_pred_locks_per_transaction","max_prepared_transactions","max_replication_slots","max_stack_depth","max_standby_archive_delay","max_standby_streaming_delay","max_wal_senders","max_worker_processes","password_encryption","port","post_auth_delay","pre_auth_delay","quote_all_identifiers","random_page_cost","restart_after_crash","row_security","search_path","segment_size","seq_page_cost","server_encoding","server_version","server_version_num","session_preload_libraries","session_replication_role","shared_buffers","shared_preload_libraries","sql_inheritance","ssl","ssl_ca_file","ssl_cert_file","ssl_ciphers","ssl_crl_file","ssl_ecdh_curve","ssl_key_file","ssl_prefer_server_ciphers","ssl_renegotiation_limit","standard_conforming_strings","statement_timeout","stats_temp_directory","superuser_reserved_connections","synchronize_seqscans","synchronous_commit","synchronous_standby_names","syslog_facility","syslog_ident","tcp_keepalives_count","tcp_keepalives_idle","tcp_keepalives_interval","temp_buffers","temp_file_limit","temp_tablespaces","timezone","timezone_abbreviations","trace_notify","trace_recovery_messages","trace_sort","track_activities","track_activity_query_size","track_counts","track_functions","track_io_timing","transaction_deferrable","transaction_isolation","transaction_read_only","transform_null_equals","unix_socket_directories","unix_socket_group","unix_socket_permissions","update_process_title","vacuum_cost_delay","vacuum_cost_limit","vacuum_cost_page_dirty","vacuum_cost_page_hit","vacuum_cost_page_miss","vacuum_defer_cleanup_age","vacuum_freeze_min_age","vacuum_freeze_table_age","vacuum_multixact_freeze_min_age","vacuum_multixact_freeze_table_age","wal_block_size","wal_buffers","wal_keep_segments","wal_level","wal_log_hints","wal_receiver_status_interval","wal_receiver_timeout","wal_segment_size","wal_sender_timeout","wal_sync_method","wal_writer_delay","work_mem","xmlbinary","xmloption","zero_damaged_pages"
"seats","61.319857742715655","postgres","TRANSACTION_SERIALIZABLE","0.128288","0.481373","0.582279","0.692201","0.785303","0.3116152173913043","0.790989","0.28593","0.003259","0.0009868979038075176","0.000992825051905318","1016.0458167330677","35.601593625498005","28.514940239043824","1.0288844621513944","102.00398406374502","183.11553784860558","106.4820717131474","3.698207171314741","0.04780876494023904","0.9043824701195219","0.09561752988047809","1","10","1417413521","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"tpcc","93.32371666651781","postgres","TRANSACTION_READ_COMMITTED","0.00923","0.034953","0.047017","0.051815","0.073995","0.02383432857142857","0.102503","0.021043","0.003384","0.0011031786567280823","0.001103142701196788","31298.80132450331","16.76158940397351","1043.682119205298","0.8929359823399559","30183.112582781458","662.9381898454747","30187.987858719647","5.902869757174393","0.04194260485651214","0.9823399558498896","0.017660044150110375","1","2","1417452545","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"wikipedia","272.9747401914248","postgres","TRANSACTION_SERIALIZABLE","0.257871","1.039135","1.631078","1.932534","2.165556","0.7615960231990232","2.172911","0.664179","0.002201","0.0007747186432877603","0.000779879834373272","541.6345852895149","15.008607198748043","14.73943661971831","0.8192488262910798","82.44287949921753","86.9945226917058","85.90923317683881","2.931924882629108","0.03755868544600939","0.9358372456964006","0.06416275430359937","1","10","1417452557","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"seats","18.999745048754438","postgres","TRANSACTION_SERIALIZABLE","0.082922","0.298664","0.408808","0.449991","0.470375","0.19730201754385968","0.470375","0.155389","0.00458","5.927259707133758e-05","5.9491433097494876e-05","383.78808459934464","1.2302055406613048","49.89675305332142","0.0011319630622579685","193.09234435507895","25.23741435805779","193.37146261543043","0.017992254989574026","0.0013702710753649091","0.02645218945487042","0.9735478105451296","1","10","1417452561","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"auctionmark","609.5040808435975","postgres","TRANSACTION_SERIALIZABLE","0.455662","0.933689","1.064455","1.122701","1.157953","0.7071149097867687","1.186434","0.719127","0.025853","0.0","0.0","412.0","76.0","0","0.0","273.5","0.0","732.0","0.0","0","0.5","0.5","0.01","5","1417452575","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"epinions","3171.5409934438226","postgres","TRANSACTION_SERIALIZABLE","0.637755","1.002152","1.003548","1.004587","1.009382","0.8085943384825557","1.090702","1.00031","0.003881","0.00010410535216741583","0.00010408506765722695","16.655973336110822","0.027913758983439226","1.6328507447140923","0.018018956358712635","2.391105093219456","0.580043745443183","1122.0169773981877","0.2675762941360275","0.8475158837621081","0.998645974377669","0.0013540256223310073","0.5","10","1417452580","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"twitter","999.6441426848437","postgres","TRANSACTION_SERIALIZABLE","9.12E-4","0.001293","0.004359","0.004672","0.005812","0.0015741853951317104","0.026097","0.001043","5.81E-4","0.0","0.0","477.0","11.0","0","0.0","273.5","0.0","732.0","0.0","0","0.5","0.5","0.1","5","1417452588","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"auctionmark","859.1158049251544","postgres","TRANSACTION_SERIALIZABLE","0.317773","0.337685","0.365299","0.371957","0.38616","0.3233173851823119","0.460968","0.326623","0.019416","0.0","0.0","423.0","65.0","0","0.0","273.5","0.0","732.0","0.0","0","0.5","0.5","0.01","5","1417452601","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"ycsb_read_heavy","9.998851461929123","postgres","TRANSACTION_READ_COMMITTED","0.002764","0.00371","0.004861","0.005","0.005167","0.0032179333333333332","0.005167","0.002923","0.001848","7.91332654613051e-05","7.917610750284331e-05","81.54345757335449","0.1611419508326725","3.4671689135606663","0.23108643933386203","18.74123711340206","6.254084060269627","316.6348136399683","0.903806502775575","0.1513877874702617","0.7958762886597938","0.20412371134020618","0.05","5","1417452605","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
"epinions","3217.6971519908916","postgres","TRANSACTION_SERIALIZABLE","0.616381","1.002025","1.003484","1.004531","1.009358","0.8054481900372825","1.095203","1.000018","0.003262","0.0001027249651316686","0.00010270582859823717","15.419321685508736","0.014285714285714285","1.4066803699897226","0.01778006166495375","2.019732785200411","0.536896197327852","1154.0830421377184","0.21233299075025694","0.8630010277492292","0.9996916752312436","0.00030832476875642344","0.5","10","1417452610","off","","(disabled)","off","0","on","1min","off","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","10s","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","1000","5","/home/parallels/git/dbtune/generator/../db/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/dbtune/generator/../db/data","iso, mdy","off","1s","on","on","off","on","off","100","","pg_catalog.simple","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","off","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/dbtune/generator/../db/data/pg_hba.conf","off","off","try","/home/parallels/git/dbtune/generator/../db/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","postgresql-%y-%m-%d_%h%m%s.log","off","","off","-1","error","warning","off","on","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","off","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","32mb","0","hot_standby","off","10s","1min","16mb","1min","fdatasync","1s","4mb","base64","content","off"
