"AA_Benchmark","Database","Isolation","Latency_25th","Latency_75th","Latency_90th","Latency_95th","Latency_99th","Latency_avg","Latency_max","Latency_median","Latency_min","PG_Cache_Hits","PG_Index_Hits","PG_disk_blocks_cache_hit","PG_disk_blocks_read","PG_index_scans","PG_rows_deleted","PG_rows_fetched","PG_rows_inserted","PG_rows_returned","PG_rows_updated","PG_sequential_scans","PG_transactions_committed","PG_transactions_rolled_back","Scalefactor","Terminals","Throughput","Timestamp","allow_system_table_mods","application_name","archive_command","archive_mode","archive_timeout","array_nulls","authentication_timeout","autovacuum","autovacuum_analyze_scale_factor","autovacuum_analyze_threshold","autovacuum_freeze_max_age","autovacuum_max_workers","autovacuum_multixact_freeze_max_age","autovacuum_naptime","autovacuum_vacuum_cost_delay","autovacuum_vacuum_cost_limit","autovacuum_vacuum_scale_factor","autovacuum_vacuum_threshold","autovacuum_work_mem","backslash_quote","bgwriter_delay","bgwriter_lru_maxpages","bgwriter_lru_multiplier","block_size","bonjour","bonjour_name","bytea_output","check_function_bodies","checkpoint_completion_target","checkpoint_segments","checkpoint_timeout","checkpoint_warning","client_encoding","client_min_messages","cluster_name","commit_delay","commit_siblings","config_file","constraint_exclusion","cpu_index_tuple_cost","cpu_operator_cost","cpu_tuple_cost","cursor_tuple_fraction","data_checksums","data_directory","datestyle","db_user_namespace","deadlock_timeout","debug_assertions","debug_pretty_print","debug_print_parse","debug_print_plan","debug_print_rewritten","default_statistics_target","default_tablespace","default_text_search_config","default_transaction_deferrable","default_transaction_isolation","default_transaction_read_only","default_with_oids","dynamic_library_path","dynamic_shared_memory_type","effective_cache_size","effective_io_concurrency","enable_bitmapscan","enable_hashagg","enable_hashjoin","enable_indexonlyscan","enable_indexscan","enable_material","enable_mergejoin","enable_nestloop","enable_seqscan","enable_sort","enable_tidscan","escape_string_warning","event_source","exit_on_error","external_pid_file","extra_float_digits","from_collapse_limit","fsync","full_page_writes","geqo","geqo_effort","geqo_generations","geqo_pool_size","geqo_seed","geqo_selection_bias","geqo_threshold","gin_fuzzy_search_limit","gin_pending_list_limit","hba_file","hot_standby","hot_standby_feedback","huge_pages","ident_file","ignore_checksum_failure","ignore_system_indexes","integer_datetimes","intervalstyle","join_collapse_limit","krb_caseins_users","krb_server_keyfile","lc_collate","lc_ctype","lc_messages","lc_monetary","lc_numeric","lc_time","listen_addresses","lo_compat_privileges","local_preload_libraries","lock_timeout","log_autovacuum_min_duration","log_checkpoints","log_connections","log_destination","log_directory","log_disconnections","log_duration","log_error_verbosity","log_executor_stats","log_file_mode","log_filename","log_hostname","log_line_prefix","log_lock_waits","log_min_duration_statement","log_min_error_statement","log_min_messages","log_parser_stats","log_planner_stats","log_replication_commands","log_rotation_age","log_rotation_size","log_statement","log_statement_stats","log_temp_files","log_timezone","log_truncate_on_rotation","logging_collector","maintenance_work_mem","max_connections","max_files_per_process","max_function_args","max_identifier_length","max_index_keys","max_locks_per_transaction","max_pred_locks_per_transaction","max_prepared_transactions","max_replication_slots","max_stack_depth","max_standby_archive_delay","max_standby_streaming_delay","max_wal_senders","max_worker_processes","password_encryption","port","post_auth_delay","pre_auth_delay","quote_all_identifiers","random_page_cost","restart_after_crash","row_security","search_path","segment_size","seq_page_cost","server_encoding","server_version","server_version_num","session_preload_libraries","session_replication_role","shared_buffers","shared_preload_libraries","sql_inheritance","ssl","ssl_ca_file","ssl_cert_file","ssl_ciphers","ssl_crl_file","ssl_ecdh_curve","ssl_key_file","ssl_prefer_server_ciphers","ssl_renegotiation_limit","standard_conforming_strings","statement_timeout","stats_temp_directory","superuser_reserved_connections","synchronize_seqscans","synchronous_commit","synchronous_standby_names","syslog_facility","syslog_ident","tcp_keepalives_count","tcp_keepalives_idle","tcp_keepalives_interval","temp_buffers","temp_file_limit","temp_tablespaces","timezone","timezone_abbreviations","trace_notify","trace_recovery_messages","trace_sort","track_activities","track_activity_query_size","track_counts","track_functions","track_io_timing","transaction_deferrable","transaction_isolation","transaction_read_only","transform_null_equals","unix_socket_directories","unix_socket_group","unix_socket_permissions","update_process_title","vacuum_cost_delay","vacuum_cost_limit","vacuum_cost_page_dirty","vacuum_cost_page_hit","vacuum_cost_page_miss","vacuum_defer_cleanup_age","vacuum_freeze_min_age","vacuum_freeze_table_age","vacuum_multixact_freeze_min_age","vacuum_multixact_freeze_table_age","wal_block_size","wal_buffers","wal_keep_segments","wal_level","wal_log_hints","wal_receiver_status_interval","wal_receiver_timeout","wal_segment_size","wal_sender_timeout","wal_sync_method","wal_writer_delay","work_mem","xmlbinary","xmloption","zero_damaged_pages"
"ycsb_read_only","postgres","TRANSACTION_READ_COMMITTED","0.003426","0.004659","0.005386","0.005531","0.006032","0.00403358064516129","0.006032","0.003962","0.002414","0.00018068734043098908","0.00018085593439228653","169.79677594638653","0.2921572178953088","7.082050353196885","0.5138561854736461","38.859808005796054","14.078608947654411","125.41622894403187","1.5201956167360986","0.04727404455714544","0.8666908168809998","0.13330918311900017","0.05","5","9.9992815129164","1417320407","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"ycsb_write_heavy","postgres","TRANSACTION_READ_COMMITTED","0.002901","0.004664","0.006804","0.007911","0.01013","0.0040787666666666665","0.01013","0.003303","0.002464","0.014361197669692453","0.015852999459556837","53.36065573770492","0.26229508196721313","0.13114754098360656","0.7868852459016393","21.34426229508197","2.0","55.59016393442623","0.01639344262295082","0.01639344262295082","0.9836065573770492","0.01639344262295082","0.05","5","9.99997991337368","1417320411","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"tatp","postgres","TRANSACTION_SERIALIZABLE","0.002627","0.005315","0.009443","0.014899","0.024951","0.004941681063122923","0.027881","0.003326","9.2E-4","0.0014190403616884616","0.0014206540247626517","120.85775248933143","0.18349928876244664","12.034139402560456","0.3456614509246088","20.096728307254622","12.122332859174964","28.076813655761026","0.25177809388335703","0.008534850640113799","0.5576102418207681","0.4423897581792319","0.01","10","99.99516415413115","1417320417","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"tatp","postgres","TRANSACTION_SERIALIZABLE","0.00259","0.006274","0.010292","0.014409","0.022664","0.005457943521594684","0.043472","0.003777","0.001217","0.0013737295888889228","0.0013757028668330265","119.50826446280992","0.19696969696969696","11.975206611570249","0.30303030303030304","20.173553719008265","12.02754820936639","22.68457300275482","0.1790633608815427","0.008264462809917356","0.5289256198347108","0.47107438016528924","0.01","10","99.99532194642684","1417320422","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"ycsb_read_only","postgres","TRANSACTION_READ_COMMITTED","0.003385","0.004958","0.005576","0.005818","0.006826","0.004137806451612903","0.006826","0.004146","0.002021","0.014064516129032258","0.015603085553997195","49.37096774193548","0.27419354838709675","0.016129032258064516","0.7741935483870968","20.370967741935484","2.096774193548387","54.08064516129032","0.016129032258064516","0.016129032258064516","0.9838709677419355","0.016129032258064516","0.05","5","9.998057487086374","1417320427","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"auctionmark","postgres","TRANSACTION_SERIALIZABLE","0.812614","1.283844","1.452058","1.506719","1.562853","1.0030344711332857","1.578614","1.053004","0.013494","0.0","0.0","143.75","0.0","0","0.0","72.5","0.0","530.25","0.0","0","0.875","0.125","0.01","5","467.5235337134556","1417320440","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"auctionmark","postgres","TRANSACTION_SERIALIZABLE","0.731897","1.321965","1.473812","1.518911","1.559924","1.003748253846154","1.573832","1.050576","0.011501","0.0","0.0","488.0","0.0","0","0.0","273.5","0.0","732.0","0.0","0","0.5","0.5","0.01","5","476.50450233676173","1417320453","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"ycsb_read_heavy","postgres","TRANSACTION_READ_COMMITTED","0.001976","0.003358","0.004021","0.005449","0.042274","0.003917129032258064","0.042274","0.002274","0.001494","0.00027902882915283386","0.0002792857136860696","163.24251748251748","0.28335664335664335","9.42097902097902","0.5653146853146853","33.644475524475524","14.024895104895105","53.554405594405594","1.2055944055944057","0.15328671328671328","0.8637762237762238","0.1362237762237762","0.05","5","10.000095262197803","1417320457","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"ycsb_balanced","postgres","TRANSACTION_READ_COMMITTED","0.003048","0.00528","0.007888","0.008273","0.023946","0.004697366666666667","0.023946","0.003912","0.001885","0.014278159703860392","0.015852999459556837","53.442622950819676","0.2786885245901639","0.21311475409836064","0.7868852459016393","21.737704918032787","1.9180327868852458","55.67213114754098","0.01639344262295082","0.01639344262295082","0.9836065573770492","0.01639344262295082","0.05","5","9.999612771661825","1417320462","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
"twitter","postgres","TRANSACTION_SERIALIZABLE","0.001176","0.004572","0.006097","0.00842","0.01471","0.003424847282427476","0.023315","0.003046","5.13E-4","0.0","0.0","113.4375","0.0","0","0.0","64.375","0.0","407.625","0.875","0","0.9375","0.0625","0.1","5","999.4122329690233","1417320467","off","","(disabled)","off","0","on","1min","on","0.1","50","200000000","3","400000000","1min","20ms","-1","0.2","50","-1","safe_encoding","200ms","100","2","8192","off","","hex","on","0.5","3","5min","30s","utf8","notice","","0","5","/home/parallels/git/postgresql/data/postgresql.conf","partition","0.005","0.0025","0.01","0.1","off","/home/parallels/git/postgresql/data","iso, mdy","off","1s","on","on","on","on","off","100","","pg_catalog.english","off","read committed","off","off","$libdir","posix","4gb","1","on","on","on","on","on","on","on","on","on","on","on","on","postgresql","off","","3","8","on","on","on","5","0","0","0","2","12","0","4mb","/home/parallels/git/postgresql/data/pg_hba.conf","off","off","try","/home/parallels/git/postgresql/data/pg_ident.conf","off","off","on","postgres","8","off","","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","en_us.utf-8","localhost","off","","0","-1","off","off","stderr","pg_log","off","off","default","off","0600","log","off","","off","-1","error","warning","off","off","off","1d","10mb","none","off","-1","us/eastern","off","on","64mb","100","1000","100","63","32","64","64","0","0","2mb","30s","30s","0","8","on","5432","0","0","off","4","on","on","""$user"", public","1gb","1","utf8","9.5devel","90500","","origin","128mb","","on","off","","server.crt","none","","none","server.key","on","512mb","on","0","pg_stat_tmp","3","on","on","","local0","postgres","9","7200","75","8mb","-1","","us/eastern","default","off","log","off","on","1024","on","none","off","off","read committed","off","off","/tmp","","0777","on","0","200","20","1","10","0","50000000","150000000","5000000","150000000","8192","4mb","0","minimal","off","10s","1min","16mb","1min","fdatasync","200ms","4mb","base64","content","off"
